ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2020-04-30 09:24:23 094m





Relative time;HS4-50(17297).Kladivko;HS4-50(17297).Snimac1;HS4-50(17297).Snimac2
s;V;V;V
-0.04812288;-2.5E-5;9.4E-5;0.0078
-0.04811776;0;9.4E-5;0.0073
-0.04811264;5.1E-5;0.00014;0.0073
-0.04810752;0;0.00013;0.0073
-0.0481024;-5.1E-5;7.5E-5;0.0071
-0.04809728;-2.5E-5;7.5E-5;0.0076
-0.04809216;-2.5E-5;5E-5;0.0076
-0.04808704;-2.5E-5;-1.3E-5;0.0073
-0.04808192;0;2.5E-5;0.0071
-0.0480768;-7.6E-5;2.5E-5;0.0063
-0.04807168;2.5E-5;6.3E-5;0.0066
-0.04806656;-2.5E-5;0.00013;0.0078
-0.04806144;5.1E-5;0.00016;0.0073
-0.04805632;2.5E-5;0.00011;0.0066
-0.0480512;-5.1E-5;8.2E-5;0.0073
-0.04804608;-5.1E-5;5.7E-5;0.0073
-0.04804096;-0.0001;-1.3E-5;0.0071
-0.04803584;-0.00013;9.4E-5;0.0068
-0.04803072;-5.1E-5;0.00013;0.0068
-0.0480256;-7.6E-5;0.00013;0.0066
-0.04802048;2.5E-5;0.00016;0.0073
-0.04801536;-2.5E-5;0.00023;0.0073
-0.04801024;-2.5E-5;0.00022;0.0073
-0.04800512;2.5E-5;0.00021;0.0073
-0.048;2.5E-5;0.00013;0.0076
-0.04799488;0;0.00011;0.0076
-0.04798976;0.00013;0.0001;0.0071
-0.04798464;5.1E-5;8.2E-5;0.0076
-0.04797952;-7.6E-5;0.00014;0.0071
-0.0479744;-2.5E-5;0.00021;0.0083
-0.04796928;-7.6E-5;0.00024;0.0078
-0.04796416;-5.1E-5;0.00026;0.0083
-0.04795904;0;0.00032;0.0081
-0.04795392;0;0.00023;0.0083
-0.0479488;-7.6E-5;0.00019;0.0083
-0.04794368;-0.0001;0.00023;0.0083
-0.04793856;-5.1E-5;0.00017;0.0081
-0.04793344;-0.0001;0.00018;0.0078
-0.04792832;-2.5E-5;0.00017;0.0076
-0.0479232;7.6E-5;0.00016;0.0078
-0.04791808;2.5E-5;0.0001;0.0078
-0.04791296;2.5E-5;0.00016;0.0078
-0.04790784;2.5E-5;0.00013;0.0083
-0.04790272;2.5E-5;0.00018;0.0076
-0.0478976;7.6E-5;0.00013;0.0073
-0.04789248;2.5E-5;0.00014;0.0071
-0.04788736;0.0001;0.0001;0.0076
-0.04788224;-5.1E-5;1.3E-5;0.0073
-0.04787712;-7.6E-5;3.8E-5;0.0083
-0.047872;0;1.3E-5;0.0076
-0.04786688;-2.5E-5;-3.8E-5;0.0076
-0.04786176;-2.5E-5;-3.8E-5;0.0078
-0.04785664;-2.5E-5;-5E-5;0.0076
-0.04785152;-2.5E-5;3.8E-5;0.0076
-0.0478464;-5.1E-5;0.00012;0.0081
-0.04784128;0;0.00021;0.0083
-0.04783616;-0.00015;0.00023;0.0076
-0.04783104;-2.5E-5;0.00021;0.0078
-0.04782592;-7.6E-5;0.00018;0.0073
-0.0478208;-7.6E-5;0.00014;0.0076
-0.04781568;-5.1E-5;0.00014;0.0081
-0.04781056;0;0.00015;0.0078
-0.04780544;0;0.00018;0.0081
-0.04780032;-7.6E-5;0.00015;0.0076
-0.0477952;-7.6E-5;0.00018;0.0078
-0.04779008;-2.5E-5;0.00018;0.0083
-0.04778496;2.5E-5;0.00026;0.0081
-0.04777984;0;0.00022;0.0086
-0.04777472;-7.6E-5;0.00014;0.0086
-0.0477696;2.5E-5;0.00011;0.0088
-0.04776448;0;0.00014;0.0081
-0.04775936;0;0.00011;0.0081
-0.04775424;0;4.4E-5;0.0078
-0.04774912;-0.00013;1.3E-5;0.0083
-0.047744;-2.5E-5;-3.1E-5;0.0078
-0.04773888;2.5E-5;-2.5E-5;0.0078
-0.04773376;-2.5E-5;6.3E-6;0.0081
-0.04772864;-7.6E-5;3.1E-5;0.0078
-0.04772352;-0.0001;3.8E-5;0.0078
-0.0477184;5.1E-5;-1.9E-5;0.0081
-0.04771328;0;-4.4E-5;0.0076
-0.04770816;-0.00013;6.3E-6;0.0076
-0.04770304;-0.00015;1.9E-5;0.0078
-0.04769792;-2.5E-5;0.0001;0.0086
-0.0476928;-2.5E-5;0.00013;0.0078
-0.04768768;0;0.00015;0.0078
-0.04768256;-5.1E-5;0.00019;0.0076
-0.04767744;0;0.00015;0.0078
-0.04767232;-7.6E-5;0.00013;0.0073
-0.0476672;-2.5E-5;6.9E-5;0.0073
-0.04766208;0;5.7E-5;0.0076
-0.04765696;-2.5E-5;3.1E-5;0.0068
-0.04765184;-2.5E-5;3.8E-5;0.0073
-0.04764672;5.1E-5;1.9E-5;0.0078
-0.0476416;-5.1E-5;3.1E-5;0.0076
-0.04763648;-2.5E-5;3.1E-5;0.0076
-0.04763136;-0.0001;6.9E-5;0.0081
-0.04762624;-7.6E-5;9.4E-5;0.0081
-0.04762112;-7.6E-5;0.00011;0.0068
-0.047616;-2.5E-5;0.00014;0.0076
-0.04761088;-5.1E-5;0.00013;0.0071
-0.04760576;-7.6E-5;0.00017;0.0071
-0.04760064;-7.6E-5;0.00018;0.0076
-0.04759552;0;0.0001;0.0081
-0.0475904;2.5E-5;4.4E-5;0.0076
-0.04758528;2.5E-5;-6.3E-6;0.0081
-0.04758016;0;0;0.0078
-0.04757504;-7.6E-5;6.3E-6;0.0078
-0.04756992;0;7.5E-5;0.0073
-0.0475648;2.5E-5;0.0001;0.0076
-0.04755968;0;0.00011;0.0076
-0.04755456;-2.5E-5;0.00015;0.0076
-0.04754944;-0.0001;8.8E-5;0.0081
-0.04754432;0;0.00011;0.0073
-0.0475392;-7.6E-5;0.00017;0.0078
-0.04753408;-2.5E-5;0.00015;0.0083
-0.04752896;-7.6E-5;0.00014;0.0073
-0.04752384;0;0.00014;0.0076
-0.04751872;-2.5E-5;0.00014;0.0076
-0.0475136;5.1E-5;6.9E-5;0.0081
-0.04750848;-7.6E-5;3.1E-5;0.0076
-0.04750336;-0.0001;0;0.0076
-0.04749824;-5.1E-5;1.3E-5;0.0071
-0.04749312;-5.1E-5;6.9E-5;0.0071
-0.047488;-2.5E-5;0.0001;0.0078
-0.04748288;0;8.2E-5;0.0081
-0.04747776;2.5E-5;8.8E-5;0.0083
-0.04747264;-5.1E-5;1.9E-5;0.0081
-0.04746752;-0.0001;1.3E-5;0.0071
-0.0474624;5.1E-5;3.1E-5;0.0076
-0.04745728;2.5E-5;4.4E-5;0.0078
-0.04745216;-2.5E-5;0.00011;0.0076
-0.04744704;5.1E-5;6.9E-5;0.0081
-0.04744192;-0.0001;0.00016;0.0076
-0.0474368;-0.00018;0.00019;0.0083
-0.04743168;-0.00015;8.2E-5;0.0076
-0.04742656;-7.6E-5;3.8E-5;0.0073
-0.04742144;-5.1E-5;6.3E-5;0.0078
-0.04741632;2.5E-5;0.00011;0.0076
-0.0474112;0;0.0001;0.0083
-0.04740608;-5.1E-5;7.5E-5;0.0076
-0.04740096;0;8.2E-5;0.0078
-0.04739584;-5.1E-5;9.4E-5;0.0073
-0.04739072;-5.1E-5;9.4E-5;0.0078
-0.0473856;0;7.5E-5;0.0078
-0.04738048;-7.6E-5;0.00014;0.0078
-0.04737536;2.5E-5;0.00016;0.0081
-0.04737024;-7.6E-5;0.00014;0.0081
-0.04736512;0;0.00016;0.0078
-0.04736;-5.1E-5;0.00013;0.0081
-0.04735488;2.5E-5;0.00013;0.0081
-0.04734976;-5.1E-5;0.0001;0.0076
-0.04734464;-2.5E-5;8.2E-5;0.0083
-0.04733952;-7.6E-5;7.5E-5;0.0081
-0.0473344;-5.1E-5;9.4E-5;0.0078
-0.04732928;-5.1E-5;0.0001;0.0071
-0.04732416;-5.1E-5;0.00013;0.0078
-0.04731904;-2.5E-5;0.00016;0.0076
-0.04731392;0;0.00011;0.0076
-0.0473088;-2.5E-5;6.3E-5;0.0076
-0.04730368;-2.5E-5;9.4E-5;0.0076
-0.04729856;0.00013;3.1E-5;0.0081
-0.04729344;5.1E-5;1.3E-5;0.0073
-0.04728832;-5.1E-5;3.1E-5;0.0083
-0.0472832;-5.1E-5;7.5E-5;0.0076
-0.04727808;2.5E-5;6.3E-5;0.0078
-0.04727296;0;0.00012;0.0078
-0.04726784;0;0.00025;0.0076
-0.04726272;-2.5E-5;0.00028;0.0083
-0.0472576;5.1E-5;0.00021;0.0086
-0.04725248;-7.6E-5;0.00012;0.0081
-0.04724736;-5.1E-5;0.00015;0.0073
-0.04724224;-2.5E-5;0.00015;0.0081
-0.04723712;-2.5E-5;0.00015;0.0078
-0.047232;0;0.00015;0.0078
-0.04722688;-2.5E-5;9.4E-5;0.0076
-0.04722176;-7.6E-5;0.00012;0.0073
-0.04721664;-0.00013;0.00014;0.0073
-0.04721152;-5.1E-5;0.00021;0.0076
-0.0472064;0;0.00018;0.0071
-0.04720128;-7.6E-5;0.00011;0.0081
-0.04719616;0;5.7E-5;0.0076
-0.04719104;-2.5E-5;0.00013;0.0081
-0.04718592;2.5E-5;0.00024;0.0073
-0.0471808;2.5E-5;0.00026;0.0083
-0.04717568;5.1E-5;0.00029;0.0081
-0.04717056;-5.1E-5;0.00022;0.0071
-0.04716544;-5.1E-5;0.0002;0.0076
-0.04716032;0.00013;0.00013;0.0076
-0.0471552;7.6E-5;0.00018;0.0083
-0.04715008;0;0.00022;0.0081
-0.04714496;0;0.00023;0.0078
-0.04713984;0;0.0002;0.0076
-0.04713472;-5.1E-5;0.00016;0.0076
-0.0471296;0;0.00019;0.0081
-0.04712448;-2.5E-5;0.00016;0.0076
-0.04711936;-5.1E-5;0.00016;0.0076
-0.04711424;0;0.00016;0.0078
